"filename", "language", "Markdown", "Python", "JavaScript", "HTML", "Ignore", "toml", "JSON", "Ini", "Shell Script", "Docker", "YAML", "comment", "blank", "total"
"/workspaces/spacegom-web/.dockerignore", "Ignore", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 1, 13
"/workspaces/spacegom-web/.pylintrc", "Ini", 0, 0, 0, 0, 0, 0, 0, 477, 0, 0, 0, 0, 181, 658
"/workspaces/spacegom-web/API.md", "Markdown", 661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 801
"/workspaces/spacegom-web/CONTEXT_ACTUALIZADO.md", "Markdown", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 188
"/workspaces/spacegom-web/DATABASE.md", "Markdown", 461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 560
"/workspaces/spacegom-web/DICE_SYSTEM.md", "Markdown", 458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 580
"/workspaces/spacegom-web/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 7, 22
"/workspaces/spacegom-web/README.md", "Markdown", 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 409
"/workspaces/spacegom-web/REGLAS_MORAL_EXPERIENCIA.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 38
"/workspaces/spacegom-web/accion_comercio_de_mercancias.md", "Markdown", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 130
"/workspaces/spacegom-web/app/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/workspaces/spacegom-web/app/aws_setup.py", "Python", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 7, 114
"/workspaces/spacegom-web/app/clean_local_db.py", "Python", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 84
"/workspaces/spacegom-web/app/database.py", "Python", 0, 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 100, 591
"/workspaces/spacegom-web/app/dice.py", "Python", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 18, 131
