Date : 2026-01-28 08:37:44
Directory : /workspaces/spacegom-web
Total : 89 files,  23538 codes, 1503 comments, 3585 blanks, all 28626 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /workspaces/spacegom-web/docs/personnel.html.md                    | Markdown     |        126 |          0 |         31 |        157 |
| /workspaces/spacegom-web/docs/personnel_manager.md                 | Markdown     |         34 |          0 |         18 |         52 |
| /workspaces/spacegom-web/docs/remaining_templates.md               | Markdown     |         39 |          0 |         11 |         50 |
| /workspaces/spacegom-web/docs/run.md                               | Markdown     |         28 |          0 |         13 |         41 |
| /workspaces/spacegom-web/docs/setup.html.md                        | Markdown     |        117 |          0 |         29 |        146 |
| /workspaces/spacegom-web/docs/ship_data.md                         | Markdown     |         43 |          0 |         16 |         59 |
| /workspaces/spacegom-web/docs/state_file.md                        | Markdown     |        210 |          0 |         46 |        256 |
| /workspaces/spacegom-web/docs/time_manager.md                      | Markdown     |         63 |          0 |         31 |         94 |
| /workspaces/spacegom-web/docs/trade.html.md                        | Markdown     |        118 |          0 |         28 |        146 |
| /workspaces/spacegom-web/docs/trade_manager.md                     | Markdown     |         53 |          0 |         20 |         73 |
| /workspaces/spacegom-web/docs/update_planets_from_excel.md         | Markdown     |         41 |          0 |         14 |         55 |
| /workspaces/spacegom-web/docs/utils.md                             | Markdown     |         44 |          0 |         18 |         62 |
| /workspaces/spacegom-web/fix_db.py                                 | Python       |         26 |          2 |          8 |         36 |
| /workspaces/spacegom-web/implementacion_transporte_pasajeros.md    | Markdown     |         32 |          0 |         24 |         56 |
| /workspaces/spacegom-web/old_docs/CONTEXT.md                       | Markdown     |        115 |          0 |         31 |        146 |
| /workspaces/spacegom-web/old_docs/HiringEndpointsNotes.md          | Markdown     |         10 |          0 |          3 |         13 |
| /workspaces/spacegom-web/old_docs/IMPLEMENTACION_CONTRATACION.md   | Markdown     |         46 |          0 |         18 |         64 |
| /workspaces/spacegom-web/old_docs/OLD_CONTEXT_ACTUALIZADO.md       | Markdown     |        289 |          0 |         80 |        369 |
| /workspaces/spacegom-web/old_docs/OLD_Implementation.md            | Markdown     |        430 |          4 |        104 |        538 |
| /workspaces/spacegom-web/old_docs/migrate_preserve_planets.py      | Python       |        187 |         21 |         43 |        251 |
| /workspaces/spacegom-web/old_docs/planets_backup.json              | JSON         |      7,994 |          0 |          0 |      7,994 |
| /workspaces/spacegom-web/primer_objetivo.md                        | Markdown     |        107 |          0 |         52 |        159 |
| /workspaces/spacegom-web/pyproject.toml                            | toml         |         32 |          0 |          6 |         38 |
| /workspaces/spacegom-web/review.md                                 | Markdown     |         44 |          0 |         15 |         59 |
| /workspaces/spacegom-web/spacegom.sh                               | Shell Script |          1 |          1 |          1 |          3 |
| /workspaces/spacegom-web/uv.lock                                   | toml         |        685 |          0 |         45 |        730 |
| Total                                                              |              |     23,538 |      1,503 |      3,585 |     28,626 |
+--------------------------------------------------------------------+--------------+------------+------------+------------+------------+
